"id","title_ru","title_ro","title_en","body_ru","body_ro","body_en","materiale_cat_id","created_at","updated_at"
"48","Духовные дары","Daruri Spirituale","Spiritual Gifts","<p><img src=""/system/images/658/detail_preview/_-_.jpg"" border=""0"" alt=""image"" width=""253"" height=""338"" style=""float: left;"" />К чему Бог призвал тебя? Чем Он наделил тебя? Открой духовные дары, которыми Господь наделил тебя и других верующих для прославления Бога и созидания Его церкви.</p>","<p>Ce
te-a chemat Dumnezeu să faci și pentru ce te-a echipat El &icirc;n mod
unic? Descoperă darurile spirituale pe care Dumnezeu ți le-a dat și
&icirc;nțelege darurile date tuturor credincioșilor pentru glorificarea
lui Dumnezeu și &icirc;ntărirea bisericii Sale.</p>","<p>What is God's calling for you and what are you equiped for? Discover the spiritual gifts which God has given to you and comprehend the gifts that were given to all the other believers to glorify God and to strengthen His church.</p>","4","2011-01-19 09:56:22","2016-02-08 14:20:38"
"49","Евангелие от Иоанна - Шаг за шагом","Evanghelia după - Ioan pas cu pas","Gospel of John - Step by step","<p>Иоанн открывает Иисуса Христа как Сына Божьего. Из первых 11-ти глав ты научишься как ходить в Свете Мира и твои отношения с Иисусом станут более близкими. В главах 12-21 ты узнаешь о смерти, погребении и воскресении Иисуса, а также что это значило для твоего спасения.</p>","<p><img src=""/system/images/202/large_thumb/ioan_pp_rom.jpg"" border=""0"" alt=""image"" width=""286"" height=""370"" style=""float: left; margin: 5px;"" />Ioan
&Icirc;l prezintă pe Isus Hristos ca Fiul lui Dumnezeu. &Icirc;nvață din
Ioan capitolele 1-11 să umbli &icirc;n Isus ca Lumină a lumii, și
relația ta cu El va deveni mai str&acirc;nsă. Din capitolele 12-21
&icirc;nvață despre moartea, &icirc;ngroparea și &icirc;nvierea lui Isus și
despre semnificația lor pentru m&acirc;ntuirea ta.</p>","<p><span id=""result_box"" lang=""en""> <span class=""hps"">John</span> <span class=""hps"">presents Jesus</span> <span class=""hps"">Christ as</span> <span class=""hps"">the Son of</span> <span class=""hps"">God</span><span>.</span> <span class=""hps"">Learn</span> <span class=""hps"">from</span> <span class=""hps"">John</span> <span class=""hps"">Chapters</span> <span class=""hps"">1-11</span> <span class=""hps"">to walk in</span> <span class=""hps"">Jesus as the</span> <span class=""hps"">Light</span> <span class=""hps"">of the world</span><span>,</span> <span class=""hps"">and</span> <span class=""hps"">your relationship</span> <span class=""hps"">with Him</span> <span class=""hps"">will become</span> <span class=""hps"">stronger</span><span>.</span> <span class=""hps"">Chapters</span> <span class=""hps"">12 - 21</span> <span class=""hps"">teach</span> <span class=""hps"">about the death</span><span>, burial</span> <span class=""hps"">and resurrection of</span> <span class=""hps"">Jesus</span> <span class=""hps"">and their significance</span> <span class=""hps"">for</span> <span class=""hps"">your salvation</span><span>.</span></span></p>","2","2011-01-19 09:59:54","2012-05-23 11:00:29"
"50","Бытие - Шаг за шагом","Genesa - pas cu pas","Genesis - Step by step","<p>Изучение первых 11-ти глав книги Бытие для детей. Узнай как был сотворен мир, как появился человек. Другие темы этого курса: обещания, которые исполняются на протяжении всей Библии, как грех вошел в мир, суд Бога против злых и то, как Он спасает праведных.</p>","<p>Un
studiu pentru tineri al primelor 11 capitole din cartea Genesei.
&Icirc;nvață cum a fost creată lumea și cum a fost făcut omul. Alte
subiecte: promisiuni care se &icirc;mplinesc de-a lungul &icirc;ntregii Biblii, intrarea
păcatului &icirc;n lume, judecata lui Dumnezeu &icirc;mpotriva celor răi și
modul cum i-a salvat pe cei neprihăniți.</p>","<p><span id=""result_box"" lang=""en""><span class=""hps"">A</span> <span class=""hps"">study</span><span class=""hps""> of the</span> <span class=""hps"">first 11</span> <span class=""hps"">chapters of</span> <span class=""hps"">Genesis</span><span> </span></span><span id=""result_box"" lang=""en""> <span class=""hps"">for</span> <span class=""hps"">youth</span></span><span id=""result_box"" lang=""en""><span>.</span> <span class=""hps"">Learn how</span> <span class=""hps"">the world</span> <span class=""hps"">was created</span> <span class=""hps"">and how</span> the <span class=""hps"">man</span> <span class=""hps"">was made</span><span>.</span> <span class=""hps"">Other</span> <span class=""hps"">topics</span>:<span class=""hps""></span> <span class=""hps"">the</span> <span class=""hps"">promises </span></span><span id=""result_box"" lang=""en""><span class=""hps"">that are</span> <span class=""hps"">fulfilled</span></span><span id=""result_box"" lang=""en""> <span class=""hps"">throughout the</span> <span class=""hps"">Bible</span><span>,</span> <span class=""hps"">sin</span> <span class=""hps"">entering</span> <span class=""hps"">the world</span><span>,</span> <span class=""hps"">God's judgments</span> <span class=""hps"">against</span> <span class=""hps"">the wicked</span> <span class=""hps"">and how</span> <span class=""hps"">He has saved</span> <span class=""hps"">the righteous</span><span>.</span></span></p>","2","2011-01-19 10:02:50","2011-12-09 16:51:30"
"51","Ребята, кажется я влип! (по посланию Иакова)","Vai, am dat de probleme! (Epistola lui Iacov)","Boy, Have I Got problems? James","<p><img src=""/system/images/453/detail_preview/___.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Как, будучи ребенком, выдержать давление в школе, от соседей и даже родных? Какой совет дает нам Бог? Ты сможешь найти решение для себя и своих друзей в качестве журналиста, используя советы из послания Иакова.</p>","<p>Cum
abordezi ca și copil presiunile din școală, din vecinătatea casei
și uneori și cele de acasă? Ce sfat ne dă Dumnezeu? Găsești
soluții la probleme prietenilor tăi &icirc;n calitate de ziarist
folosind sfaturi din cartea
lui Iacov.</p>","<p><span id=""result_box"" lang=""en""><span class=""hps"">What about the</span> <span class=""hps"">pressures at</span> <span class=""hps"">school</span>, in your&nbsp;<span class=""hps"">neighborhood</span> <span class=""hps"">and</span> at <span class=""hps"">home</span><span>?</span> <span class=""hps"">What</span> <span class=""hps"">advice does God</span> <span class=""hps"">give us</span><span>?</span> <span class=""hps"">Find</span> <span class=""hps"">solutions to your friends' problems</span> <span class=""hps"">as a</span> <span class=""hps"">journalist</span> <span class=""hps"">using</span> <span class=""hps"">tips</span> <span class=""hps"">from</span> <span class=""hps"">the book of James</span><span>.</span></span></p>","2","2011-01-19 10:03:59","2015-08-20 14:03:21"
"52","Не тот путь, Иона!","Sens interzis, Iona!","Worng way Jonah!","<p><img src=""/system/images/657/detail_preview/_-_-_-_-_.jpg"" border=""0"" alt=""image"" width=""236"" height=""338"" style=""float: left;"" />""Человека проглотила огромная рыба!"". Ты журналист и газета поручила тебе написать репортаж об этом событии. Исследуй эти факты, одновременно играя и проводя конкурсы. Учись правильно действовать. Удивительная книга, с которой все дети могут начать индуктивное изучение Библии.</p>","<p><img src=""/system/images/542/large_thumb/Iona_pentru_copiii.jpg"" border=""0"" alt=""image"" width=""276"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />&bdquo;Om
&icirc;nghițit de un pește uriaș!"" Ești reporter la un ziar și ți
s-a &icirc;ncredințat sarcina să scrii un reportaj despre această
&icirc;nt&acirc;mplare extraordinară. Investighează faptele &icirc;mpreună cu
diferite activități și jocuri. &Icirc;nvață cum să acționezi
corect. O
carte extraordinară de studiu biblic cu care copiii pot &icirc;ncepe
studiul inductiv.</p>","<p><span id=""result_box"" lang=""en""><span class=""hps atn"">""</span><span>Man</span> <span class=""hps"">swallowed by a</span> <span class=""hps"">giant</span> <span class=""hps"">fish</span><span>!</span><span>"" You are</span> <span class=""hps"">a newspaper</span> <span class=""hps"">reporter</span> <span class=""hps"">and</span> <span class=""hps"">was</span> <span class=""hps"">commissioned</span> <span class=""hps"">to write</span> <span class=""hps"">a story</span> <span class=""hps"">about this</span> <span class=""hps"">extraordinary</span> <span class=""hps"">event</span><span>.</span> <span class=""hps"">Investigate</span> <span class=""hps"">the facts</span> <span class=""hps"">along with various</span> <span class=""hps"">activities</span> <span class=""hps"">and games.</span> <span class=""hps"">Learn</span> <span class=""hps"">how to</span> <span class=""hps"">act</span> <span class=""hps"">properly.</span> <span class=""hps"">A</span> <span class=""hps"">great book</span> </span><span id=""result_box"" lang=""en""><span class=""hps"">that</span> <span class=""hps"">children can</span> <span class=""hps"">begin</span><span> the inductive</span></span><span id=""result_box"" lang=""en""> <span class=""hps"">Bible study with</span><span>.</span></span></p>","2","2011-01-19 10:06:55","2016-02-08 14:18:22"
"53","Как изучать Библию? (для детей)","Cum să studiem Biblia (pentru copii)","How to study Bible (for kids)","<p><img src=""/system/images/656/detail_preview/_-_-_-_.jpg"" border=""0"" alt=""image"" width=""250"" height=""338"" style=""float: left;"" />Добро пожаловать в нашу штаб-квартиру
сыщиков детективного агентства"", -
			приглашают ребят Макс, Молли, а также
Сэм, лучшая ищейка ближней округи. Они готовы
			провести вас через шестинедельный тренировочный
курс для получения звания сыщика индуктивного
			метода изучения Библии. Они же помогут вам
отгадать непростую загадку - как открыть
			для себя, что говорит Божье Слово. Вас,
безусловно, ожидают интересные
			приключения!</p>
<p>Посещая занятия библейской группы вы
не только узнаете, что говорит Библия и что это значит
для вас, но и научитесь претворять в жизнь библейские
			истины. Разве это не здорово! Итак, вперед! Наденьте
сыщицкую кепку, захватите с собой увеличительное
стекло, и отправляйтесь раскрывать секреты написанных
тайнописью записок, разгадывать головоломки, наседать
на ""хвост"" подозреваемых в грехе. Спешите на поиски
свидетелей происшествия!&nbsp;&nbsp;</p>","<p><img src=""/system/images/541/large_thumb/Cum_sa_studiem_Biblia_-_copii.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin: 5px;"" /> Psst! Vrei să dezlegi o enigmă?! Caţără-te în căsuţa din<br /> copac, care aparţine agenţiei &bdquo;Detectivii M şi M"", şi lasă-i<br /> pe Mihai, Maria şi copoiul Rex să te conducă printr-un<br /> curs de pregătire de şase săptămâni destinat &bdquo;detecti-<br /> vilor inductivi"". Agenţia are o mare enigmă de dezlegat - enigma descoperirii&nbsp;de către tine însuţi a ceea ce spune Cuvântul lui Dumnezeu. Uau! Asta seamănă a aventură!&nbsp;&nbsp;</p>
<p>Fiind parte a echipei, îţi vei dezvolta deprinderile astfel încât să poţi şti ce spune Biblia, să
înţelegi ce înseamnă aceasta şi s-o aplici în viaţa ta - toate acestea de unul singur. Nu este extraor-
dinar acest lucru? Prin urmare, ia-ţi pălăria de detectiv, apucă lupa şi începe descifrarea mesajelor
secrete, rezolvă puzzle-urile pentru a da de urme, urmăreşte-l pe un suspect şi chiar stai de vorbă
cu martori oculari!&nbsp;</p>","<p><img src=""/system/images/188/large_thumb/CSB_copii_EN_.jpg"" border=""0"" alt=""image"" width=""286"" height=""370"" style=""float: left; margin: 5px;"" />Children, learn to descover for yourselves the powerful truths of God, which you find in the Bible! Observe, interpret and apply the Bible playing games, solving crosswords and many others. By the end of this study you will become ""inductive bible detectives"" and get a licence of ""Inductive Detective"".</p>","2","2011-01-19 10:08:23","2016-02-08 14:17:05"
"54","Живешь ли тем, что говоришь?","Cum trăieşti ce vorbeşti?","Do You Walk The Walk You Talk?","<p><img src=""/system/images/655/detail_preview/40M-_-_-_-_-_.jpg"" border=""0"" alt=""image"" width=""232"" height=""338"" style=""float: left;"" />Знаешь ли ты, кто такой Христос? Является ли твое хождение достойным твоего призвания? Отражает ли твоя жизнь хождение и речь Иисуса? Этот курс по посланию к Ефесянам предлагает практические советы для нашей повседневной жизни.</p>","<p>Ştii cine eşti în Hristos?
Umbli într-un chip
vrednic de chemarea ta -
o viaţă care imită umblarea şi vorbirea lui Isus?
Acest studiu din Efeseni
oferă sfaturi practice pentru viaţa de fiecare zi.</p>","<p>Do you know who are you in Christ? Do you walk in a manner worthy of your calling - an imitation of Jesus' walk and talk? This study on Ephesians offer practical advice for every day life.</p>","1","2011-08-26 10:07:25","2016-02-08 14:15:33"
"56","Библия БСИ","Biblia BISI","Bible NISB","<p><img src=""/system/images/545/large_thumb/BISI_rus.jpg"" border=""0"" alt=""image"" width=""278"" height=""481"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Каждый раздел Библии для самостоятельного изучения по Индуктивному Методу был задуман, чтобы помочь вам получить личное познание Бога и Его Слова. Это единственное издание Библии, полностью основанное на исследовании индуктивным методом. Она предлагает простые, проверенные инструменты для наблюдения над текстом, его толковании и применении этого в своей жизни. Библия для самостоятельного изучения по Индуктивному Методу кардинальным образом изменит ваше отношение к чтению и изучению Слова Божьего.</p>","<p><img src=""/system/images/546/large_thumb/BISI_rom.jpg"" border=""0"" alt=""image"" width=""278"" height=""427"" style=""float: left; margin-left: 5px; margin-right: 5px;"" /> Fiecare caracteristică a <em>Bibliei Internaţionale de Studiu Inductiv </em>a fost
concepută ca să te ajute să obţii o înţelegere personală a lui Dumnezeu
şi a Cuvântului Său. Aceasta este singura Biblie bazată în întregime&nbsp;pe abordarea inductivă a studiului - oferind unelte simple, verificate,
pentru observarea a ceea ce spune textul, interpretarea a ceea ce
înseamnă acesta şi aplicarea acestuia în viaţă. <em>Biblia Internaţională de
Studiu Inductiv</em> va schimba dramatic modul în care citeşti şi te raportezi
la Cuvântul lui Dumnezeu.&nbsp;</p>","<p>Discover God's truths for yourself with this New Inductive Study Bible, 
using the Updated New American Standard text.&nbsp; It's smaller, narrower, 
lighter to carry, with several new features: more help with marking 
symbols; a choice of reading plans and study plans.&nbsp; There are 24 pages 
of full-color charts, timelines and maps; a comprehensive history of 
Israel; and individualized instructions for every book in the Bible.&nbsp; 
This is a must for you and someone you want to introduce to inductive 
Bible study!</p>","8","2011-08-27 20:34:50","2015-08-22 10:43:37"
"57","Бог, есть ли Ты?","Dumnezeule, exişti?","God, are You there?","<p><img src=""/system/images/654/detail_preview/_-_-_-_.jpg"" border=""0"" alt=""image"" width=""232"" height=""338"" style=""float: left;"" />Бог есть ли Ты?<br />Знаешь ли Ты обо мне?<br />Что я могу знать о Тебе?</p>
<p>Практический и глубокий курс, на основе Евангелия от Иоанна предназначен всем, независимо от того, насколько человек хорошо знает Библию. Эта книга идеально подходит для общения с верующими и неверующими, которые желают знать о том, что Бог существует и вы Ему не безразличны! Это пособие, исключительный элемент для евангелизации.</p>","<p><img src=""/system/images/195/large_thumb/DE_RO_.jpg"" border=""0"" alt=""image"" width=""248"" height=""370"" style=""float: left; margin: 5px;"" />Dumnezeule, exişti?<br /> &Icirc;ţi pasă de mine?<br /> Ce pot şti despre Tine?<br /><br />Profund şi practic, acest studiu inductiv al Evangheliei după Ioan este destinat
tuturor, indiferent c&acirc;t de bine cunoaşte Biblia. Este o carte perfectă pentru a
avea părtăşie cu credincioşii şi necredincioşii care t&acirc;njesc să ştie că Dumnezeu
există şi că &Icirc;i pasă de ei! Aceasta este o unealtă evanghelistică extraordinară.</p>","<p><img src=""/system/images/196/large_thumb/DE_EN_.jpg"" border=""0"" alt=""image"" width=""241"" height=""370"" style=""float: left; margin: 5px;"" />Profound and practical, this quick-start Bible study is designed even 
for those who know nothing about the Bible. This thirteen -week 
inductive study of the Gospel of John for individual or group study is 
perfect for struggling believers or even non-Christians - anyone who is 
longing to know if God is really there, and if He really cares about 
them.</p>","3","2011-08-30 20:31:50","2016-02-08 14:14:15"
"58","Как изучать Библию?","Cum să studiem Biblia?","How to study Bible?","<p><img src=""/system/images/449/detail_preview/_1.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" /></p>
<p>Как изучать Библию?</p>
<p>Независимо от уровня образования и знания Библии, каждый читатель может углубиться в Слово Божье. Пособие ""Как изучать Библию?"" представляет систематическое изучение Библии, прививая навыки наблюдения, толкования и применения, используя Писание для толкования Писания.</p>","<p><img src=""/system/images/548/large_thumb/Cum_sa_RO.jpg"" border=""0"" alt=""image"" width=""227"" height=""370"" style=""margin-left: 5px; margin-right: 5px; float: left;"" />Cum să studiem Biblia&nbsp;</p>
<p><br /> Indiferent de nivelul de educație şi de cunoaştere
a Bibliei, orice cititor poate pătrunde mai adânc în
Cuvântul lui Dumnezeu.
			Cartea Cum să studiem Biblia prezintă o abordare
sistematică a studierii Bibliei, cultivând deprinderile observării, interpretării şi aplicării, deoarece
Scriptura interpretează Scriptura.&nbsp;&nbsp;</p>","<p><span id=""result_box"" lang=""en""><span class=""hps"">This guide</span> <span class=""hps"">presents and</span> <span class=""hps"">helps to develop</span> <span class=""hps"">skills</span> <span class=""hps"">of</span>&nbsp;<span class=""hps"">inductive</span><span> </span></span><span id=""result_box"" lang=""en""><span class=""hps"">observation,</span></span><span id=""result_box"" lang=""en""><span> interpretation and application</span> <span class=""hps"">-</span> <span class=""hps"">skills</span> <span class=""hps"">that</span> <span class=""hps"">separates the</span> <span class=""hps"">audience</span> from the <span class=""hps"">active</span> <span class=""hps"">participants</span> <span class=""hps"">in</span> <span class=""hps"">God's Word</span><span>!</span> <span class=""hps"">Enter a</span> <span class=""hps"">world of</span> <span class=""hps"">discovery</span> <span class=""hps"">-</span> <span class=""hps"">understanding the</span> <span class=""hps"">con</span><span class=""atn"">-</span><span>text, the meaning</span> <span class=""hps"">of the</span> <span class=""hps"">Hebrew and Greek</span> words<span>, studies</span> <span class=""hps"">on the subject</span> <span class=""hps"">and more.</span> <span class=""hps"">I</span><span class=""hps"">nteract</span> <span class=""hps"">with</span> <span class=""hps"">God's Word personaly,</span> <span class=""hps"">treasure</span> <span class=""hps"">His</span> <span class=""hps"">message in your heart</span> <span class=""hps"">and live</span> <span class=""hps"">a new life</span><span>!</span></span></p>","4","2011-09-07 10:45:07","2015-09-09 06:50:38"
"59","Истинные взаимоотношения с Богом","Cum să ai o relaţie reală cu Dumnezeu?","Having A Real Relationship With God","<p><img src=""/system/images/653/detail_preview/40M-_-_-_-_.jpg"" border=""0"" alt=""image"" width=""232"" height=""338"" style=""float: left;"" /></p>
<p>Религия или отношения? Воцерковленный человек или измененный человек? Возможно ли иметь наполненные смыслом взаимоотношения с Богом? Настоящие отношения, которые &laquo;работают&raquo; в повседневных жизненных обстоятельствах. Желаете ли вы испытать настоящее общение с Богом? Этот курс изучения поможет вам открыть для себя, что такие отношения для нас возможны. Вы узнаете, что Сам Бог говорит о том, какие взаимоотношения Он хочет установить с вами и к какому общению хочет привести.</p>","<p><img src=""/system/images/550/large_thumb/40_Cum_sa_ai_relatiii.jpg"" border=""0"" alt=""image"" width=""253"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Religie sau relaţie? Om
bisericos sau om schimbat?
Studiază explicaţia clară pe
care Biblia o dă problemei
omului şi singura soluţie a
lui Dumnezeu. Aceasta este
o unealtă minunată de studiu
biblic pentru cei care Îl
caută pe Dumnezeu.</p>","<p>Religion or relationship? Churched or changed? Study the Bible's clear 
explanation of man's problems and God's only solution. Wonderful tool 
for seeker Bible studies! Instructions for leaders are given at the 
beginning of the book.</p>
<p>&nbsp;</p>","1","2011-09-07 10:49:22","2016-02-08 14:10:43"
"60","Сексуальность в свете Библии","Sexualitatea din perspectiva Bibliei","The Truth About Sex","<p><img src=""/system/images/447/detail_preview/_.jpg"" border=""0"" alt=""image"" width=""237"" height=""338"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Все, что вы когда-либо желали узнать об интимных отношениях с точки зрения Библии! Бог создал секс, однако человек его осквернил. Возможно ли обратно возвращение к сексуальной чистоте? Однозначно да! Узнайте, как это может быть, набирая практическое и бескомпромиссное руководство из Слова Божьего. Эта книга может быть прекрасным подарком как подростку или человеку безбрачному, так и супружеским парам.</p>","<p><img src=""/system/images/551/large_thumb/Sexualitate_din_perspectiva_Bibliei.jpg"" border=""0"" alt=""image"" width=""250"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Tot ce ai dorit să ştii vreodată despre relaţiile sexuale - dintr-o perspectivă
biblică! Dumnezeu a creat sexul, însă omul l-a pângărit. Ne putem întoarce la
puritatea sexuală? Cu siguranţă! Învaţă cum poţi face acest lucru - dobândeşte
călăuzire practică şi lipsită de compromis din Cuvântul lui Dumnezeu. Această
carte poate fi un cadou minunat atât pentru adolescenţi şi persoane
necăsătorite, cât şi pentru cei căsătoriţi.</p>","<p>This softcover edition of the ground-breaking <em>Sex. . .According to God </em>emphasizes
 how to walk with purity in a world of temptation - everything you've 
ever wanted to know about sex - from a biblical perspective!&nbsp;God created
 sex, but man has deflled it. Can we return to sexual purity? 
Absolutely! Learn how - get uncompromising, practical guidance from 
God's Word. Excellent study or gift book for teens, singles, and married
 couples.</p>","9","2011-09-07 11:00:31","2015-08-22 14:54:44"
"61","Господь, я хочу знать Тебя","Doamne, vreau să Te cunosc","Lord, I Want To Know You","<p><img src=""/system/images/652/detail_preview/_-_-_-_-_.jpg"" border=""0"" alt=""image"" width=""231"" height=""338"" style=""float: left;"" />Знать Бога, значит знать Его характер, который раскрывается в Его Имени. Каждое Имя открывает одну из граней Его суверенитета, над твоей жизнью. Если ты желаешь усиления твоей веры, этот курс поможет тебе увидеть и понять могущественную силу, которой действует Бог.</p>","<p><img src=""/system/images/216/large_thumb/ND_RO_.jpg"" border=""0"" alt=""image"" width=""259"" height=""370"" style=""float: left; margin: 5px;"" />A-L cunoaşte pe Dumnezeu
&icirc;nseamnă a cunoaşte caracterul
Său, şi acest caracter este
descoperit &icirc;n Numele Sale.
Fiecare Nume descoperă un
aspect al suveranităţii Sale
asupra vieţii tale. Dacă doreşti
o credinţă mai profundă şi mai
puternică, acest studiu te va
ajuta să vezi şi să &icirc;nţelegi puterea extraordinară cu care lucrează
Dumnezeu.</p>
<p>&nbsp;</p>","<p><img src=""/system/images/215/large_thumb/ND_EN_.jpg"" border=""0"" alt=""image"" width=""247"" height=""370"" style=""float: left; margin: 5px;"" />To know God is to know His character, and that character is revealed in 
His names. Each name is an aspect of His sovereignty over your life. If 
you want a deeper, abiding faith, this study will help you see and 
understand how powerfully He works.</p>","3","2011-09-07 11:12:34","2016-02-08 12:58:33"
"62","Господь, дай мне сердце, угодное Тебе","Doamne, dă-mi o inimă dedicată Ţie","Lord, Give Me A Heart For You","<p><img src=""/system/images/651/detail_preview/_-_-_-_-_-_.jpg"" border=""0"" alt=""image"" width=""230"" height=""338"" style=""float: left;"" />Вас критикуют, разочаровывают или даже бьют? Апостол Павел был настолько стеснен, что в один момент думал, что они умрут. Все же он продолжал верить в Христа и жить, горя страстью для Него. Научитесь у Павла, как управлять обстоятельствами, сохраняя сердце, которое все переносит ради Бога.</p>","<p><img src=""https://lh3.googleusercontent.com/-vFkohGmTFic/SsMhEn2RffI/AAAAAAAAArc/zbF7Bx5aSpU/s128/2corinteni.jpg"" border=""0"" alt=""Doamne, da-mi inima dedicata tie"" width=""88"" height=""128"" style=""float: left; margin: 2px;"" />Eşti criticat, bătut, descurajat?
Apostolul Pavel a fost atât de
copleşit la un moment dat încât
a crezut că va muri! Totuşi a
continuat să se încreadă în
Hristos şi să trăiască plin de
pasiune pentru El. Învaţă de la
Pavel cum să fii stăpân peste
circumstanţe, având o inimă
care perseverează pentru Dumnezeu.</p>","<p>Criticized, beaten down, discouraged? The apostle Paul was so 
overwhelmed at one time he despaired of life itself! Yet he continued to
 trust Christ and passionately live for His pleasure. Learn from Paul 
how to master circumstances with a persevering heart for God.</p>
<p>&nbsp;</p>","3","2011-09-07 11:22:10","2016-02-08 12:57:18"
"63","Женщины Библии - библейский курс женщин с известными именами ","Femeile Bibliei – Un studiul biblic al „femeilor cu nume“","Women in Bible - a biblical course of women with known names","<p>Здесь вы найдете женские библейские образы, как например Мариамь - сестра Моисея, Ана - мать Самуила, Мария Магдалина и другие. Изучая их жизнь, ты сможешь увидеть себя в разных образах и поступках, которые необходимо совершать в разных жизненных ситуациях.</p>","<p><img src=""/system/images/552/large_thumb/FB_CN.jpg"" border=""0"" alt=""image"" width=""265"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Aici vei găsi modele de
femei din Biblie, cum sunt:
Maria - sora lui Moise, Ana
- mama lui Samuel, Maria
Magdalena şi multe altele.
Studiind viaţa lor vei putea
să identifici diferite roluri
şi atitudini pe care trebuie să le ai &icirc;n diferite situaţii ale vieţii.&nbsp;</p>","<p>Here you will find women from the Bible, such as: Miriam - Moses' sister, Ann - Samuel's mother, Mary Magdalene and many others. Studying their lives you will be able to identify different roles and attitude you should have in different life situations.</p>","9","2011-09-07 11:26:34","2015-08-22 15:08:37"
"64","Женщины Библии - библейский курс о женщинах с неизвестными именами","Femeile Bibliei – Un studiul biblic al „femeilor fără nume“","Women in Bible - a biblical course of women with unknown names","<p><img src=""/system/images/197/large_thumb/Femeile_Bibliei_necunoscute_RU_.jpg"" border=""0"" alt=""image"" width=""259"" height=""370"" style=""float: left; margin: 5px;"" />Эта книга содержит изучение женских образов Библии, имена которых, нам не известны, тоесть их имена авторы библейских книг решили не раскрывать. Она поможет тебе узнать глубже себя и нужды окружающих.</p>","<p><img src=""/system/images/504/detail_preview/FB_FN.jpg"" border=""0"" alt=""image"" width=""259"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Această carte continuă
studiul femeilor din Biblie,
cu &bdquo;femeile fără nume"",
adică al căror nume scriitorii biblici au ales să nu ni-l
dezvăluie. Ea te va ajuta să
te cunoşti pe tine şi nevoile
celor din jur.</p>","<p>This book continues the study of the women from the Bible, with ""women without names""- meaning whose name the writers of the Bible chose not to reveal. It will help you to get to know yourself better and the needs of those who suround you, it also shows what happen in a woman's life who meets God and chooses to walk on His ways.&nbsp;</p>","9","2011-09-07 11:42:40","2015-08-22 15:11:41"
"65","Практичесткие ответы для нашей жизни","Răspunsuri practice pentru viaţă","Practical answers to our lives","<p>Слово Божье напоминает нам, что Отец наш Небесный заботится о каждом из нас в отдельности, даже тогда, когда зло или несправедливость, как может показаться возвышаются вокруг нас. Мы призваны к тому, чтобы открывать Богу нашу горечь (и радость!) и возвещать Слово Его могущества.</p>","<p><img src=""/system/images/553/large_thumb/Rasp_viata.jpg"" border=""0"" alt=""image"" width=""264"" height=""370"" style=""float: left;"" />Cuv&acirc;ntul lui Dumnezeu ne
aduce aminte că Tatăl noastru ceresc poartă de grijă
fiecăruia dintre noi &icirc;n parte,
chiar şi atunci c&acirc;nd răul şi
nedreptatea par a fi predominante &icirc;n jurul nostru.
Noi suntem chemaţi să-I
&icirc;mpărtăşim lui Dumnezeu durerile (şi bucuriile!) noastre, şi să proclamăm
Cuv&acirc;ntul puterii Lui.</p>","<p style=""text-align: left;"">The Word of God reminds us that our heavenly Father cares for each of us, even when evil and injustice seem to suround us. We are called to share with God our pain, our joy and to proclaim the Word of His power!</p>","9","2011-09-07 11:44:57","2015-08-22 15:15:54"
